,datetime,lat,lon,incident,region
89,2024-04-24T06:00:00.000Z,51.490149419734536,-116.0917529297344,0,Central Rockies
90,2024-04-23T19:55:00.000Z,53.85369,-121.61369,0,Cariboos
91,2024-04-23T18:00:00.000Z,51.33673,-117.13341,0,Purcells
92,2024-04-23T18:00:00.000Z,50.8132840005577,-115.27439375247987,0,Central Rockies
93,2024-04-23T06:00:00.000Z,51.38061702540165,-116.06671418772584,0,Central Rockies
94,2024-04-22T23:00:00.000Z,50.01991157029332,-122.85364728972968,0,Southwest Coast
95,2024-04-22T20:00:00.000Z,50.72773,-115.3297,0,Central Rockies
96,2024-04-22T19:00:00.000Z,50.3261,-122.44435,0,Southwest Coast
97,2024-04-22T18:00:00.000Z,51.3232324424215,-116.2372419460043,0,Central Rockies
98,2024-04-22T17:00:00.000Z,49.43409,-117.12179,0,Selkirks
99,2024-04-22T14:45:00.000Z,51.71751611564909,-116.38587632657287,0,Central Rockies
100,2024-04-21T21:39:00.000Z,51.207,-117.207,0,Purcells
101,2024-04-21T19:00:00.000Z,49.64075271316892,-123.08380724733027,0,Southwest Coast
102,2024-04-21T17:00:00.000Z,50.8359,-115.37628,0,Central Rockies
103,2024-04-21T07:00:00.000Z,49.23876616424636,-124.59041338189829,0,Vancouver Island
104,2024-04-21T07:00:00.000Z,59.705865895841555,-135.1249605575689,0,Yukon
105,2024-04-21T06:00:00.000Z,50.731189771534986,-115.26820941706731,0,Central Rockies
106,2024-04-20T23:00:00.000Z,52.32579,-117.38165,0,Central Rockies
107,2024-04-20T20:00:00.000Z,50.32888,-122.47015,0,Southwest Coast
108,2024-04-20T19:00:00.000Z,51.35510054012855,-117.53130613586103,0,Selkirks
109,2024-04-20T18:30:00.000Z,59.69972016821086,-136.67331589977232,0,Yukon
110,2024-04-20T18:01:00.000Z,51.21678014665159,-117.50526896259325,0,Selkirks
111,2024-04-20T18:00:00.000Z,49.75052955635718,-114.63133840463227,0,South Rockies
112,2024-04-20T18:00:00.000Z,59.46976,-136.48006,0,Yukon
113,2024-04-20T17:30:00.000Z,50.02497,-122.87231,0,Southwest Coast
114,2024-04-20T17:00:00.000Z,51.12649003124133,-115.7834751771666,0,Central Rockies
115,2024-04-20T17:00:00.000Z,51.24967,-117.7307,0,Selkirks
116,2024-04-20T17:00:00.000Z,51.22434,-116.10307,0,Central Rockies
117,2024-04-20T17:00:00.000Z,50.72100099386873,-115.3164951217847,0,Central Rockies
118,2024-04-20T16:00:00.000Z,59.46607922294652,-136.4808612634614,0,Yukon
119,2024-04-20T13:00:00.000Z,51.07974,-115.86034,0,Central Rockies
120,2024-04-20T11:00:00.000Z,51.710770326516894,-116.58481243519624,0,Central Rockies
121,2024-04-20T10:20:00.000Z,52.18113,-117.20582,0,Central Rockies
122,2024-04-20T00:00:00.000Z,51.83378,-116.69384,0,Central Rockies
123,2024-04-19T22:00:00.000Z,50.64167,-116.57291,0,Purcells
124,2024-04-19T19:00:27.000Z,51.18541898531049,-118.72465639028974,0,Monashees
125,2024-04-19T18:00:00.000Z,59.60825,-136.42698,0,Yukon
126,2024-04-19T16:00:00.000Z,49.09472468255706,-117.05638028451214,0,Selkirks
127,2024-04-19T09:00:37.000Z,49.63495951747748,-123.08403052872347,0,Southwest Coast
128,2024-04-19T08:00:00.000Z,51.55073221894298,-116.25288348631236,0,Central Rockies
129,2024-04-19T07:00:00.000Z,51.28445644946021,-117.55756842577404,0,Selkirks
130,2024-04-19T04:00:00.000Z,59.57812,-135.02953,0,Yukon
131,2024-04-19T00:00:00.000Z,55.3368,-122.67716,0,North Rockies
132,2024-04-18T22:00:00.000Z,59.77249,-136.74159,0,Yukon
133,2024-04-18T22:00:00.000Z,50.45853,-116.23648,0,Purcells
134,2024-04-18T21:00:00.000Z,51.063630043871655,-118.76322416056269,0,Monashees
135,2024-04-18T14:00:00.000Z,51.05939829433143,-115.3938969569589,0,Central Rockies
136,2024-04-18T13:00:00.000Z,49.83767,-123.00668,0,Southwest Coast
137,2024-04-18T08:00:00.000Z,51.20542976860753,-116.00837550650462,0,Central Rockies
138,2024-04-18T02:00:00.000Z,59.4748,-136.48805,0,Yukon
139,2024-04-17T23:00:00.000Z,50.64942,-116.5612,0,Purcells
140,2024-04-17T22:12:00.000Z,51.18967885433236,-118.72309278852667,0,Monashees
141,2024-04-17T22:00:00.997Z,50.73123754723463,-115.26330360582612,0,Central Rockies
142,2024-04-17T22:00:00.000Z,50.47385,-115.84087,0,South Rockies
143,2024-04-17T22:00:00.000Z,59.66984,-136.43367,0,Yukon
144,2024-04-17T20:00:00.532Z,50.227233235172775,-126.33537988163832,0,Vancouver Island
145,2024-04-17T18:00:00.000Z,52.022456277951704,-116.79373335019821,0,Central Rockies
146,2024-04-17T18:00:00.000Z,50.79159,-115.34265,0,Central Rockies
147,2024-04-17T16:00:00.000Z,51.16308,-115.49204,0,Central Rockies
148,2024-04-17T10:20:00.000Z,51.55385317161003,-116.24976761030557,0,Central Rockies
149,2024-04-17T10:20:00.000Z,51.55385317161003,-116.24976761030557,0,Central Rockies
150,2024-04-17T06:00:00.000Z,49.78028,-114.61705,0,South Rockies
151,2024-04-17T01:00:00.000Z,59.68005,-136.47769,0,Yukon
152,2024-04-17T00:00:00.000Z,59.60924,-136.42677,0,Yukon
